﻿﻿Username;Created At;Tweet Text;Tweet ID;Label;Tanggal Labeling
﻿nan;30/04/2025 17.04;Doain semua vendor MBG semoga mereka dibayar pantas sesuai perjanjian tepat waktu ga dirapel duitnya ga ditilep. Yg harusnya lebih dikritisi dan diawasi tuh pihak2 di atas mereka. Yayasan penyalur badan mbg pengawasan dari parjo parcok.;1,92E+33;NEGATIVE;26/01/2026
﻿nan;07/08/2025 11.07;Dukung Program MBG Polres Tuban Bangun Gedung SPPG https://t.co/8ZjU1Nw0lR lewat @nawacit4;1,95E+34;POSITIVE;26/01/2026
﻿nan;17/10/2025 17.40;Makan Bergizi Gratis Kecamatan Gandusari Diduga Tidak Layak 3 Hari Menu Bau dan Keras. Program Makan Bergizi Gratis (MBG) di Kabupaten Trenggalek kembali menuai kritik. https://t.co/Y8Vycw3I6a https://t.co/9XnirvmBEV;1,98E+34;NEUTRAL;26/01/2026
﻿nan;19/08/2025 09.51;Bhabinkamtibmas Polsek Ciledug melaksanakan monitoring pendistribusian Makan Bergizi Gratis (MBG) di sekolah wilayah Kel. Karang Timur yang disalurkan oleh SPPG (Satuan Pelayanan Pemenuhan Gizi). Kegiatan ini dilakukan untuk memastikan program berjalan lancar tepat sasaran https://t.co/M6BlwrUnlC;1,96E+34;NEUTRAL;26/01/2026
﻿nan;26/06/2025 12.57;5 5 Juta Anak Sudah Nikmati Makan Bergizi Gratis Pemerintah Tancap Gas ke Target 82 9 Juta Jiwa! https://t.co/ERzFjrfbv3 #mbguntukindonesia;1,94E+33;NEUTRAL;26/01/2026
﻿nan;04/03/2025 07.05;Program PKK harus fokus atasi stunting lewat mbg dan pemeriksaan kesehatan gratis https://t.co/02oXdUi6qo;1,90E+33;POSITIVE;26/01/2026
﻿nan;16/03/2025 02.25;Wah ini keren nih ga kaya si Zarry Hendrik dkk. Gini contoh kecilnya kemarin pas bagi2 MBG aja TNI sampe masuk sekolah/kelas buat ngawasin pelajar nah kalo RUU TNI ini disahkan kejadian kaya gitu bakal sering terjadi. Mereka bisa otoriter karena mereka bersenjata. #TolakRUUTNI;1,90E+33;NEGATIVE;26/01/2026
﻿nan;30/09/2025 21.21;"Mantan Menteri Politik Hukum &amp; Keamanan (Menko Polhukam) Mahfud MD mengaku bahwa ada anggota keluarganya yg mengalami keracunan setelah mengkonsumsi makan bergizi gratis (MBG). Peristiwa itu terjadi di Daerah Istimewa Yogyakarta. Mahfud MD: Cucu Saya Juga Keracunan MBG https://t.co/wTRKYKJVat";1,97E+34;NEUTRAL;26/01/2026
﻿nan;17/06/2025 14.57;Kemenkeu: Realisasi MBG hingga 12 Juni 2025 Tembus Rp 4 4 Triliun https://t.co/ARVT6RbcTs;1,93E+34;NEUTRAL;26/01/2026
﻿nan;25/10/2025 06.05;Ibu negara Brasil terkesan dengan kesuksesan program MBG di Indonesia. https://t.co/7ghQ6rTHk3;1,98E+33;POSITIVE;26/01/2026
﻿nan;23/07/2025 14.43;mantap abis! SPPG Polri beneran peduli sama MBG https://t.co/D8K6MFzIR4;1,95E+34;POSITIVE;26/01/2026
﻿nan;06/01/2025 12.50;sebentar sebentar. lantas kalau (sebagian pelaksanaan) MBG ini menggunakan uang pribadi pak @prabowo pertanggungjawabannya gimana? ini kan program pemerintah. lalu mengapa PCO merlils pernyataan ini? apa karena berbagai reaksi negatif publik atas pelaksanaan MBG yg;1,88E+34;NEUTRAL;26/01/2026
﻿nan;15/05/2025 14.02;@evsspoir Dengan adanya dapur MBG dari Badan Gizi Nasional di Jayapura masyarakat makin mudah nikmati makanan bergizi berkat Prabowo;1,92E+34;POSITIVE;26/01/2026
